metric,applicable_runs,applicability_rate,minimum,maximum,range,iqr,unique_values
run_coverage,19,1.0,1.0,1.0,0.0,0.0,1
raw_parseability,19,1.0,0.6060606060606061,1.0,0.3939393939393939,0.202527564452603,16
decision_recoverability,19,1.0,0.9918032786885246,1.0,0.008196721311475419,0.0,2
record_recoverability,19,1.0,0.8461538461538461,1.0,0.15384615384615385,0.0678733031674208,10
schema_conformity,19,1.0,0.8461538461538461,1.0,0.15384615384615385,0.07692307692307687,10
repair_rate,19,1.0,0.0,0.3939393939393939,0.3939393939393939,0.20252756445260306,16
positive_rate,19,1.0,0.7941176470588235,1.0,0.20588235294117652,0.06521272254794575,14
confirmation_rate,19,1.0,0.7941176470588235,1.0,0.20588235294117652,0.06521272254794575,14
exact_stage2_conditional_retention,19,1.0,0.5714285714285714,1.0,0.4285714285714286,0.125,6
exact_end_to_end_reference_support,19,1.0,0.10526315789473684,0.7105263157894737,0.6052631578947368,0.46428571428571425,9
