run_id,stage1_model,stage2_model,ontology_pair,ontology_pair_label,examples,direction,expected_candidates,observed_rows,run_coverage,raw_parseability,raw_schema_conformity,decision_recoverability,record_recoverability,schema_conformity,state_consistency,repair_rate,decision_recovery_gain,record_recovery_gain,decision_usable_n,ambiguous_decision_n,yes_n,no_n,positive_rate,confirmation_rate,exact_reference_in_stage1,exact_reference_yes,exact_stage2_conditional_retention,exact_end_to_end_reference_support,expanded_reference_in_stage1,expanded_reference_yes,expanded_stage2_conditional_retention,expanded_end_to_end_reference_support,defect_code_fence_rate,defect_code_fence_n,defect_prompt_echo_rate,defect_prompt_echo_n,defect_extra_text_rate,defect_extra_text_n,defect_repeated_json_rate,defect_repeated_json_n,defect_ambiguous_relationship_rate,defect_ambiguous_relationship_n,defect_conflicting_decision_rate,defect_conflicting_decision_n,defect_missing_relationship_rate,defect_missing_relationship_n,defect_extra_keys_rate,defect_extra_keys_n,defect_no_parseable_object_rate,defect_no_parseable_object_n
MO_L_E0_D12,Llama,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,without,1-2,83,83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,83,0,79,4,0.9518072289156626,0.9518072289156626,17,17,1.0,0.6071428571428571,17,17,1.0,0.6071428571428571,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
MO_L_E0_D21,Llama,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,without,2-1,83,83,1.0,0.9518072289156626,0.9518072289156626,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.048192771084337394,0.048192771084337394,0.03614457831325302,83,0,76,7,0.9156626506024096,0.9156626506024096,17,17,1.0,0.6071428571428571,17,17,1.0,0.6071428571428571,0.012048192771084338,1,0.024096385542168676,2,0.04819277108433735,4,0.024096385542168676,2,0.012048192771084338,1,0.0,0,0.0,0,0.0,0,0.0,0
MO_L_E1_D12,Llama,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,with,1-2,83,83,1.0,0.9518072289156626,0.9518072289156626,1.0,1.0,1.0,1.0,0.048192771084337394,0.048192771084337394,0.048192771084337394,83,0,78,5,0.9397590361445783,0.9397590361445783,17,17,1.0,0.6071428571428571,17,17,1.0,0.6071428571428571,0.03614457831325301,3,0.024096385542168676,2,0.04819277108433735,4,0.012048192771084338,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
MO_L_E1_D21,Llama,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,with,2-1,83,83,1.0,0.963855421686747,0.963855421686747,1.0,1.0,1.0,1.0,0.03614457831325302,0.03614457831325302,0.03614457831325302,83,0,78,5,0.9397590361445783,0.9397590361445783,17,17,1.0,0.6071428571428571,17,17,1.0,0.6071428571428571,0.012048192771084338,1,0.024096385542168676,2,0.03614457831325301,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
MO_Q_E0_D12,Qwen,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,without,1-2,33,33,1.0,0.6060606060606061,0.6060606060606061,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.3939393939393939,0.3939393939393939,0.303030303030303,33,0,28,5,0.8484848484848485,0.8484848484848485,4,4,1.0,0.14285714285714285,4,4,1.0,0.14285714285714285,0.24242424242424243,8,0.0,0,0.3939393939393939,13,0.21212121212121213,7,0.09090909090909091,3,0.0,0,0.030303030303030304,1,0.030303030303030304,1,0.0,0
MO_Q_E0_D21,Qwen,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,without,2-1,33,33,1.0,0.9696969696969697,0.9696969696969697,1.0,1.0,1.0,1.0,0.030303030303030276,0.030303030303030276,0.030303030303030276,33,0,31,2,0.9393939393939394,0.9393939393939394,4,4,1.0,0.14285714285714285,4,4,1.0,0.14285714285714285,0.0,0,0.0,0,0.030303030303030304,1,0.030303030303030304,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
MO_Q_E1_D12,Qwen,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,with,1-2,33,33,1.0,0.8787878787878788,0.8787878787878788,1.0,1.0,1.0,1.0,0.12121212121212122,0.12121212121212122,0.12121212121212122,33,0,29,4,0.8787878787878788,0.8787878787878788,4,4,1.0,0.14285714285714285,4,4,1.0,0.14285714285714285,0.06060606060606061,2,0.0,0,0.12121212121212122,4,0.06060606060606061,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
MO_Q_E1_D21,Qwen,Llama-3.3-70B-Instruct,mesh_ons,MeSH–ONS,with,2-1,33,33,1.0,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,33,0,31,2,0.9393939393939394,0.9393939393939394,4,4,1.0,0.14285714285714285,4,4,1.0,0.14285714285714285,0.09090909090909091,3,0.06060606060606061,2,0.09090909090909091,3,0.030303030303030304,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
OM_Q_E0_D12,Qwen,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,without,1-2,13,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,0,13,0,1.0,1.0,6,6,1.0,0.2727272727272727,6,6,1.0,0.2727272727272727,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
OM_Q_E0_D21,Qwen,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,without,2-1,13,13,1.0,0.6923076923076923,0.6923076923076923,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.3076923076923077,0.3076923076923077,0.23076923076923084,13,0,13,0,1.0,1.0,6,6,1.0,0.2727272727272727,6,6,1.0,0.2727272727272727,0.23076923076923078,3,0.0,0,0.3076923076923077,4,0.23076923076923078,3,0.07692307692307693,1,0.0,0,0.0,0,0.0,0,0.0,0
OM_Q_E1_D12,Qwen,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,with,1-2,13,13,1.0,0.8461538461538461,0.8461538461538461,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.15384615384615385,0.15384615384615385,0.07692307692307698,13,0,13,0,1.0,1.0,6,6,1.0,0.2727272727272727,6,6,1.0,0.2727272727272727,0.07692307692307693,1,0.0,0,0.15384615384615385,2,0.15384615384615385,2,0.07692307692307693,1,0.0,0,0.0,0,0.0,0,0.0,0
OM_Q_E1_D21,Qwen,Llama-3.3-70B-Instruct,occo_mesh,OccO–MeSH,with,2-1,13,13,1.0,0.6923076923076923,0.6923076923076923,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3076923076923077,0.3076923076923077,0.15384615384615385,13,0,13,0,1.0,1.0,6,6,1.0,0.2727272727272727,6,6,1.0,0.2727272727272727,0.23076923076923078,3,0.0,0,0.3076923076923077,4,0.23076923076923078,3,0.15384615384615385,2,0.0,0,0.0,0,0.0,0,0.0,0
OO_L_E0_D12,Llama,Llama-3.3-70B-Instruct,occo_ons,OccO–ONS,without,1-2,122,122,1.0,0.7459016393442623,0.7459016393442623,1.0,0.9426229508196722,0.9426229508196722,0.9426229508196722,0.25409836065573765,0.25409836065573765,0.19672131147540983,122,0,109,13,0.8934426229508197,0.8934426229508197,28,25,0.8928571428571429,0.6578947368421053,42,37,0.8809523809523809,0.6379310344827587,0.19672131147540983,24,0.00819672131147541,1,0.2540983606557377,31,0.13934426229508196,17,0.05737704918032787,7,0.0,0,0.00819672131147541,1,0.00819672131147541,1,0.0,0
OO_L_E0_D21,Llama,Llama-3.3-70B-Instruct,occo_ons,OccO–ONS,without,2-1,122,122,1.0,0.8852459016393442,0.8770491803278688,0.9918032786885246,0.9836065573770492,0.9672131147540983,0.9836065573770492,0.11475409836065575,0.10655737704918034,0.09836065573770492,121,1,101,20,0.8347107438016529,0.8278688524590164,28,24,0.8571428571428571,0.631578947368421,42,38,0.9047619047619048,0.6551724137931034,0.04918032786885246,6,0.06557377049180328,8,0.11475409836065574,14,0.02459016393442623,3,0.00819672131147541,1,0.00819672131147541,1,0.02459016393442623,3,0.0,0,0.0,0
OO_L_E1_D12,Llama,Llama-3.3-70B-Instruct,occo_ons,OccO–ONS,with,1-2,122,122,1.0,0.9344262295081968,0.9344262295081968,1.0,1.0,1.0,1.0,0.06557377049180324,0.06557377049180324,0.06557377049180324,122,0,108,14,0.8852459016393442,0.8852459016393442,28,27,0.9642857142857143,0.7105263157894737,42,41,0.9761904761904762,0.7068965517241379,0.02459016393442623,3,0.02459016393442623,3,0.06557377049180328,8,0.00819672131147541,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
OO_Q_E0_D12,Qwen,Llama-3.3-70B-Instruct,occo_ons,OccO–ONS,without,1-2,34,34,1.0,0.8235294117647058,0.8235294117647058,1.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.17647058823529416,0.17647058823529416,0.1470588235294118,34,0,30,4,0.8823529411764706,0.8823529411764706,7,6,0.8571428571428571,0.15789473684210525,10,9,0.9,0.15517241379310345,0.14705882352941177,5,0.029411764705882353,1,0.17647058823529413,6,0.08823529411764706,3,0.029411764705882353,1,0.0,0,0.0,0,0.0,0,0.0,0
OO_Q_E0_D21,Qwen,Llama-3.3-70B-Instruct,occo_ons,OccO–ONS,without,2-1,34,34,1.0,0.7647058823529411,0.7352941176470589,1.0,0.9411764705882353,0.9117647058823529,0.9411764705882353,0.23529411764705888,0.23529411764705888,0.17647058823529416,34,0,28,6,0.8235294117647058,0.8235294117647058,7,5,0.7142857142857143,0.13157894736842105,10,7,0.7,0.1206896551724138,0.17647058823529413,6,0.0,0,0.23529411764705882,8,0.08823529411764706,3,0.058823529411764705,2,0.0,0,0.029411764705882353,1,0.0,0,0.0,0
OO_Q_E1_D12,Qwen,Llama-3.3-70B-Instruct,occo_ons,OccO–ONS,with,1-2,34,34,1.0,0.6176470588235294,0.6176470588235294,1.0,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.38235294117647056,0.38235294117647056,0.23529411764705876,34,0,31,3,0.9117647058823529,0.9117647058823529,7,6,0.8571428571428571,0.15789473684210525,10,9,0.9,0.15517241379310345,0.29411764705882354,10,0.0,0,0.38235294117647056,13,0.2647058823529412,9,0.14705882352941177,5,0.0,0,0.0,0,0.0,0,0.0,0
OO_Q_E1_D21,Qwen,Llama-3.3-70B-Instruct,occo_ons,OccO–ONS,with,2-1,34,34,1.0,0.9705882352941176,0.9705882352941176,1.0,1.0,1.0,1.0,0.02941176470588236,0.02941176470588236,0.02941176470588236,34,0,27,7,0.7941176470588235,0.7941176470588235,7,4,0.5714285714285714,0.10526315789473684,10,7,0.7,0.1206896551724138,0.0,0,0.029411764705882353,1,0.029411764705882353,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
